content_id,cast_id
1,1
85,1
363,1
1815,1
3241,1
6074,1
9646,1
14027,1
15641,1
16152,1
1,2
85,2
149,2
239,2
363,2
834,2
835,2
1073,2
1077,2
1080,2
1150,2
1,3
39,3
70,3
85,3
149,3
150,3
363,3
495,3
559,3
705,3
791,3
795,3
835,3
1073,3
1077,3
1080,3
2853,3
4770,3
4923,3
4926,3
6723,3
7236,3
21282,3
22429,3
1,4
52,4
70,4
85,4
135,4
146,4
149,4
182,4
363,4
529,4
559,4
705,4
715,4
728,4
835,4
920,4
1073,4
1080,4
1,5
23,5
85,5
182,5
559,5
705,5
794,5
795,5
835,5
869,5
1073,5
1077,5
1,6
135,6
253,6
11401,6
266,6
501,6
502,6
559,6
619,6
733,6
758,6
791,6
794,6
829,6
920,6
1123,6
1322,6
9917,6
1382,6
8567,6
2,7
1378,7
1379,7
13430,7
2,8
2,9
3,10
12238,10
959,10
3,11
12238,11
152,11
157,11
483,11
959,11
1445,11
1806,11
1925,11
3063,11
17959,11
3836,11
13552,11
3867,11
5243,11
5863,11
6921,11
8170,11
9319,11
9796,11
10049,11
15197,11
15338,11
16923,11
17081,11
19528,11
19611,11
20654,11
21495,11
21961,11
22351,11
3,12
12238,12
152,12
483,12
959,12
1114,12
1445,12
2061,12
10817,12
22138,12
8044,12
9493,12
14299,12
20436,12
3,13
12238,13
152,13
703,13
959,13
1596,13
1811,13
5408,13
8360,13
8820,13
17144,13
9552,13
20231,13
21505,13
22929,13
3,54
12238,54
12,54
16,54
27,54
28,54
36,54
40,54
41,54
42,54
54,54
55,54
60,54
66,54
67,54
68,54
89,54
91,54
92,54
93,54
10436,54
99,54
105,54
127,54
3676,54
137,54
143,54
154,54
11718,54
155,54
11748,54
158,54
11745,54
162,54
11898,54
164,54
11761,54
166,54
167,54
168,54
11762,54
178,54
180,54
11765,54
201,54
207,54
229,54
11408,54
231,54
232,54
233,54
235,54
11890,54
242,54
246,54
253,54
11401,54
254,54
11402,54
267,54
270,54
274,54
11404,54
275,54
281,54
286,54
287,54
295,54
302,54
309,54
319,54
324,54
12372,54
326,54
327,54
11641,54
331,54
333,54
334,54
337,54
339,54
340,54
354,54
356,54
359,54
362,54
368,54
380,54
383,54
406,54
4010,54
12789,54
419,54
420,54
423,54
448,54
458,54
463,54
469,54
481,54
10347,54
497,54
503,54
506,54
507,54
518,54
519,54
522,54
11901,54
527,54
528,54
533,54
541,54
547,54
552,54
9015,54
13013,54
554,54
10318,54
560,54
564,54
565,54
569,54
573,54
574,54
575,54
576,54
585,54
588,54
591,54
602,54
613,54
639,54
11954,54
644,54
12214,54
680,54
9191,54
12536,54
685,54
688,54
696,54
11897,54
706,54
708,54
12643,54
22974,54
712,54
717,54
737,54
739,54
741,54
742,54
743,54
746,54
750,54
752,54
755,54
757,54
768,54
776,54
789,54
792,54
796,54
800,54
801,54
809,54
821,54
822,54
824,54
828,54
831,54
837,54
839,54
840,54
841,54
864,54
865,54
872,54
888,54
894,54
896,54
897,54
8231,54
910,54
5545,54
11119,54
922,54
923,54
956,54
965,54
994,54
995,54
1001,54
1005,54
1007,54
1014,54
1020,54
1024,54
1026,54
1028,54
1030,54
1032,54
1034,54
1037,54
1056,54
1058,54
1060,54
1061,54
1063,54
1070,54
1071,54
1072,54
1076,54
1095,54
1096,54
1098,54
1113,54
1131,54
1135,54
1138,54
